Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Mini hot plate","will be used to melt the solder paste to connect components to pcb",1,39.54,"https://www.aliexpress.com/item/1005007987545003.html","Aliexpress"
"Screen","on the screen is the actual simulation",1,3.74,"https://www.aliexpress.com/item/1005004482028005.html","Aliexpress"
"PCB + Stencil","actual pcb which all components will be on",1,36.62,"https://jlcpcb.com","JLCPCB"
"LCSC parts","all individual parts",1,24.01,"https://lcsc.com","lcsc"
